WELL,MD,Porosity,Permeability
W1,3902.530029,0.182,
W1,3902.600098,0.193,268.273
W1,3902.850098,0.187,169.699
W1,3903.100098,0.184,129.016
W1,3903.350098,0.19,149.925
W1,3903.52002,0.181,
W1,3903.600098,0.175,436.078
W1,3903.850098,0.176,132.284
W1,3904.149902,0.186,295.005
W1,3904.350098,0.185,306.632
W1,3904.530029,0.184,
W1,3904.600098,0.186,194.546
W1,3904.850098,0.192,754.944
W1,3905.100098,0.187,448.794
W1,3905.350098,0.183,703.766
W1,3905.530029,0.171,
W1,3905.600098,0.17,88.938
W1,3905.850098,0.173,114.927
W1,3906.149902,0.181,137.88
W1,3906.350098,0.185,386.762
W1,3906.52002,0.151,
W1,3906.600098,0.188,81.876
W1,3906.800049,0.151,
W1,3907.100098,,
W1,3907.350098,0.211,221.732
W1,3907.850098,0.19,1345.3979
W1,3908.100098,0.11,0.22
W1,3908.5,0.149,
W1,3908.850098,0.214,24.223
W1,3909.100098,0.231,118.474
W1,3909.169922,0.225,
W1,3909.600098,0.228,94.239
W1,3909.850098,0.223,85.278
W1,3910.149902,0.223,92.306
W1,3910.350098,0.22,81.891
W1,3910.52002,0.231,
W1,3910.600098,0.232,114.197
W1,3910.850098,0.226,122.904
W1,3911.100098,0.232,142.557
W1,3911.350098,0.229,117.518
W1,3911.51001,0.231,
W1,3911.600098,0.236,132.152
W1,3911.850098,0.211,49.462
W1,3912.149902,0.209,44.769
W1,3912.350098,0.231,150.643
W1,3912.52002,0.229,
W1,3912.600098,0.228,143.617
W1,3912.850098,0.235,180.679
W1,3913.100098,0.217,145.683
W1,3913.350098,0.204,117.006
W1,3913.530029,0.202,
W1,3913.600098,0.201,118.74
W1,3913.850098,0.207,143.109
W1,3914.199951,0.195,36.959
W1,3914.399902,0.194,29.857
W1,3914.5,0.198,
W1,3914.600098,0.185,18.738
W1,3914.850098,0.199,27.895
W1,3915.149902,0.204,41.299
W1,3915.350098,0.212,50.207
W1,3915.51001,0.212,
W1,3915.600098,0.217,65.685
W1,3916.050049,0.188,
W1,3916.300049,0.221,71.349
W1,3916.600098,0.242,170.088
W1,3916.800049,0.232,134.77
W1,3917,0.23,129.083
W1,3917.350098,0.231,95.717
W1,3917.5,0.228,
W1,3917.600098,0.228,132.152
W1,3917.850098,0.193,22.628
W1,3918.100098,0.194,18.156
W1,3918.350098,0.207,31.183
W1,3918.48999,0.204,
W1,3918.600098,0.198,29.816
W1,3918.850098,0.166,9.89
W1,3919.100098,0.202,31.894
W1,3919.350098,0.15,2.979
W1,3919.52002,0.162,
W2,4038.350098,0.201,1973.924
W2,4038.850098,0.203,1158.927
W2,4039.350098,0.207,1935.1169
W2,4039.850098,0.206,1003.681
W2,4040.350098,0.19,901.498
W2,4040.850098,0.201,581.095
W2,4041.350098,0.208,2392.0779
W2,4041.850098,0.208,3573.886
W2,4042.350098,0.2,1295.686
W2,4042.850098,0.206,1245.464
W2,4043.350098,0.217,933.882
W2,4043.899902,0.178,248.89
W2,4044.350098,0.209,1006.54
W2,4044.850098,0.212,1205.4709
W2,4045.350098,0.214,1248.147
W2,4045.850098,0.204,1480.0699
W2,4046.350098,0.205,928.064
